,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details,Class,Version2,Version1
4575,30062,4.7,1250,2020,52879.0,Ford,Good, Ford Explorer ST,ST,Explorer,Ford
4576,28968,4.7,301,2021,40997.0,Honda,Good, Honda Pilot Touring 7-Passenger,7-Passenger,Touring,Pilot
4577,18161,3.7,589,2021,52950.0,Dodge,Fair, Dodge Durango R/T,R/T,Durango,Dodge
4578,34018,4.6,739,2020,32703.0,INFINITI,Great, INFINITI QX60 Pure,Pure,QX60,INFINITI
4579,21011,2.3,135,2020,44997.0,Dodge,Good, Dodge Durango R/T,R/T,Durango,Dodge
4580,13919,4.4,4170,2021,35999.0,Honda,Great, Honda CR-V Hybrid Touring,Touring,Hybrid,CR-V
4581,19391,3.8,788,2021,42895.0,Dodge,Good, Dodge Charger R/T,R/T,Charger,Dodge
4582,7605,4.5,5127,2021,52800.0,Ford,Great, Ford Bronco Big Bend,Bend,Big,Bronco
4583,59230,4.9,850,2020,34900.0,Nissan,Fair, Nissan Maxima 3.5 Platinum,Platinum,3.5,Maxima
4584,18315,4.6,1613,2022,38331.0,RAM,Good, RAM 1500 Classic Tradesman,Tradesman,Classic,1500
4585,25689,2.3,105,2020,46700.0,Cadillac,Good, Cadillac XT6 Premium Luxury AWD,AWD,Luxury,Premium
4586,47151,4.7,1389,2021,59987.0,Chevrolet,Great, Chevrolet Silverado 2500 LTZ,LTZ,2500,Silverado
4587,11749,4.6,1613,2022,40502.0,RAM,Good, RAM 1500 Classic Tradesman,Tradesman,Classic,1500
4588,25119,2.6,211,2021,45794.0,Dodge,Good, Dodge Durango Citadel,Citadel,Durango,Dodge
4589,9258,4.8,913,2022,95333.0,Cadillac,Great, Cadillac Escalade Premium Luxury,Luxury,Premium,Escalade
4590,31107,4.5,561,2020,32595.0,INFINITI,Great, INFINITI QX60 Luxe,Luxe,QX60,INFINITI
4591,45605,3.9,246,2017,31490.0,Chevrolet,Great,7 Chevrolet Silverado 1500 LT,LT,1500,Silverado
4592,22776,4.5,166,2021,38988.0,Buick,Good, Buick Envision Essence,Essence,Envision,Buick
4593,7372,4.9,2846,2022,107589.0,Cadillac,Fair, Cadillac Escalade Premium Luxury,Luxury,Premium,Escalade
4594,43448,4.9,67,2020,38522.0,Honda,Good, Honda Pilot Touring 8-Passenger,8-Passenger,Touring,Pilot
4595,39280,4.9,67,2021,42722.0,Honda,Good, Honda Pilot Touring 8-Passenger,8-Passenger,Touring,Pilot
4596,42931,4.8,816,2020,31950.0,Subaru,Great, Subaru Ascent Limited 7-Passenger,7-Passenger,Limited,Ascent
4597,44103,4.9,28,2020,58595.0,Chevrolet,Great, Chevrolet Tahoe Premier,Premier,Tahoe,Chevrolet
4598,26140,4.8,1251,2020,38822.0,Dodge,Good, Dodge Charger R/T,R/T,Charger,Dodge
4599,29126,4.5,2582,2019,25997.0,Volkswagen,Great,9 Volkswagen Jetta GLI 2.0T Autobahn,Autobahn,2.0T,GLI
4600,29102,4.7,516,2020,36489.0,Subaru,Good, Subaru Ascent Limited 7-Passenger,7-Passenger,Limited,Ascent
4601,40649,3.3,103,2018,56900.0,Porsche,Great, Porsche Cayenne S,S,Cayenne,Porsche
4602,4686,3.7,1682,2022,43968.0,Volvo,Great, Volvo XC40 T4 R-Design,R-Design,T4,XC40
4603,25315,4.7,133,2019,73968.0,Porsche,Great,9 Porsche Panamera Base,Base,Panamera,Porsche
4604,7965,4.9,627,2019,33999.0,Toyota,Good,9 Toyota Prius XLE,XLE,Prius,Toyota
4605,27736,2.6,210,2020,40590.0,Ford,Great, Ford F-150 XLT,XLT,F-150,Ford
4606,39667,4.3,510,2019,36950.0,Ford,Good,9 Ford F-150 XLT,XLT,F-150,Ford
4607,19176,4.0,59,2021,32787.0,Kia,Unknown, Kia K5 GT-Line,GT-Line,K5,Kia
4608,2695,4.6,558,2022,73933.0,Chevrolet,Great, Chevrolet Tahoe Z7,Z7,Tahoe,Chevrolet
4609,1654,4.9,7827,2022,59488.0,Toyota,Unknown, Toyota Tundra SR5,SR5,Tundra,Toyota
4610,41301,4.3,487,2020,62500.0,BMW,Great, BMW X7 xDrive40i,xDrive40i,X7,BMW
4611,7384,4.9,318,2021,26999.0,Kia,Good, Kia Seltos LX,LX,Seltos,Kia
4612,36649,3.7,112,2021,24700.0,Kia,Great, Kia K5 LXS,LXS,K5,Kia
