,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
6434,Cadillac,2020 Cadillac XT6 Premium Luxury AWD,15193 ,2.3,105 ,46374,Great Deal | $2310 under,2020,Great
6435,INFINITI,2019 INFINITI QX60 Luxe,62218 ,4.8,832 ,32987,Good Deal,2019,Good
6436,Ford,2020 Ford Explorer XLT,30563 ,5.0,3882 ,35000,Good Deal | $987 under,2020,Good
6437,Honda,2021 Honda Passport EX-L,19054 ,4.8,1945 ,34984,Great Deal | $2801 under,2021,Great
6438,Volkswagen,2020 Volkswagen Passat 2.0T SE,8360 ,3.2,1569 ,23588,Great Deal | $2724 under,2020,Great
6439,Volvo,2019 Volvo V90 Cross Country T6,18794 ,3.7,1682 ,50962,Great Deal,2019,Great
6440,Cadillac,2021 Cadillac XT5 Premium Luxury,23153 ,3.0,133 ,40888,Great Deal | $2307 under,2021,Great
6441,Acura,2022 Acura MDX ,9177 ,4.9,2186 ,57151,Great Deal | $3563 under,2022,Great
6442,GMC,2020 GMC Terrain SLT,27956 ,4.7,1054 ,28699,Good Deal | $1007 under,2020,Good
6443,Jeep,2021 Jeep Gladiator Rubicon,7939 ,2.0,53 ,52391,Great Deal | $5648 under,2021,Great
6444,INFINITI,2020 INFINITI QX60 SIGNATURE EDITION,24904 ,Nan,12 ,37986,CPO Warrantied,2020,Unknown
6445,Dodge,2020 Dodge Durango GT,28137 ,Nan,0 ,37000,Good Deal | $1056 under,2020,Good
6446,Honda,2019 Honda Civic LX,21629 ,4.4,508 ,24500,Fair Deal,2019,Fair
6447,INFINITI,2019 INFINITI QX50 Luxe,43321 ,3.8,48 ,29495,Great Deal | $3081 under,2019,Great
6448,BMW,2022 BMW M340 i xDrive,11855 ,4.8,1438 ,58943,CPO Warrantied,2022,Unknown
6449,Honda,2019 Honda Fit LX,48797 ,4.8,4195 ,20368,Fair Deal,2019,Fair
6450,RAM,2022 RAM 1500 Big Horn,4044 ,4.7,600 ,51700,Good Deal,2022,Good
6451,Toyota,2021 Toyota Highlander XSE,19639 ,4.8,2157 ,44244,Good Deal,2021,Good
6452,Ford,2021 Ford Explorer XLT,16219 ,4.9,1187 ,40000,Good Deal | $963 under,2021,Good
6453,Toyota,2021 Toyota Highlander Limited,42639 ,3.6,1205 ,36490,Fair Deal,2021,Fair
6454,Porsche,2016 Porsche 911 Carrera 4S,42747 ,3.0,35 ,84900,Great Deal,2016,Great
6455,Dodge,2021 Dodge Charger Scat Pack,28191 ,3.5,167 ,48400,Good Deal,2021,Good
6456,Subaru,2021 Subaru Outback Limited,25510 ,3.9,342 ,30500,Great Deal | $2467 under,2021,Great
6457,RAM,2022 RAM 2500 Laramie,5305 ,3.1,528 ,76000,Good Deal,2022,Good
6458,Volkswagen,2021 Volkswagen Atlas 3.6 V6 SEL,28358 ,Nan,45 ,41888,CPO Warrantied,2021,Unknown
6459,INFINITI,2021 INFINITI QX80 PREMIUM SELECT,24755 ,4.8,461 ,61499,Good Deal | $2697 under,2021,Good
6460,Mercedes-Benz,2018 Mercedes-Benz AMG S 63 Base 4MATIC,19626 ,4.1,1017 ,99994,CPO Warrantied,2018,Unknown
6461,Toyota,2021 Toyota Sienna LE,56250 ,3.4,657 ,34288,CPO Warrantied,2021,Unknown
6462,Chevrolet,2019 Chevrolet Silverado 1500 LTZ,60835 ,4.9,1211 ,41269,Great Deal | $2741 under,2019,Great
6463,Ford,2021 Ford Mustang Mach-E GT,2801 ,4.4,1318 ,69001,Good Deal,2021,Good
6464,Ford,2021 Ford Expedition Max Limited,16378 ,4.8,1716 ,60568,Great Deal | $6213 under,2021,Great
6465,GMC,2022 GMC Sierra 1500 AT4,393 ,4.6,3421 ,73950,Good Deal,2022,Good
6466,Kia,2022 Kia Niro Touring SE,4761 ,4.9,7255 ,33599,Good Deal,2022,Good
6467,Volkswagen,2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium,21351 ,Nan,111 ,42389,Great Deal | $6537 under,2021,Great
6468,Volkswagen,2022 Volkswagen Taos 1.5T SE,10150 ,3.4,149 ,27999,Good Deal | $1126 under,2022,Good
6469,Chevrolet,2019 Chevrolet Suburban Premier,51537 ,3.4,421 ,55994,Great Deal | $4797 under,2019,Great
6470,Acura,2022 Acura MDX Advance,24938 ,4.9,948 ,57753,Good Deal,2022,Good
6471,GMC,2019 GMC Acadia SLE-2,34236 ,4.4,433 ,29494,Great Deal | $5891 under,2019,Great
6472,INFINITI,2019 INFINITI Q50 3.0t LUXE,21611 ,4.8,224 ,32991,Good Deal,2019,Good
6473,Honda,2020 Honda Accord LX 1.5T,70292 ,5.0,2577 ,23395,Good Deal | $535 under,2020,Good
6474,Toyota,2020 Toyota 4Runner TRD Pro,25288 ,4.7,1051 ,58752,Good Deal,2020,Good
6475,Toyota,2018 Toyota C-HR XLE Premium,21750 ,4.6,1280 ,24989,Good Deal,2018,Good
6476,GMC,2019 GMC Terrain SLT,36502 ,4.8,3706 ,28956,Great Deal | $1611 under,2019,Great
6477,Acura,2020 Acura MDX Sport Hybrid 3.0L w/Technology Package,67355 ,3.7,437 ,42644,Great Deal | $2398 under,2020,Great
6478,Toyota,2021 Toyota 4Runner Venture,33692 ,4.8,4326 ,49765,Good Deal | $2007 under,2021,Good
6479,Volvo,2022 Volvo XC40 T4 Inscription,9616 ,4.9,479 ,43500,Great Deal | $4873 under,2022,Great
6480,Bentley,2022 Bentley Flying Spur V8,164 ,Nan,4 ,279888,CPO Warrantied,2022,Unknown
6481,Toyota,2016 Toyota Tundra Limited,68697 ,3.4,526 ,36913,Good Deal | $1366 under,2016,Good
6482,Chrysler,2017 Chrysler Pacifica LX,63870 ,4.8,1332 ,23000,CPO Warrantied,2017,Unknown
6483,Toyota,2019 Toyota Tundra SR5,33885 ,4.8,2925 ,41395,Great Deal | $2419 under,2019,Great
6484,Kia,2022 Kia Sorento SX,1417 ,2.8,92 ,42989,Great Deal,2022,Great
6485,Kia,2022 Kia Rio S,7704 ,Nan,43 ,20995,Good Deal,2022,Good
6486,Chevrolet,2020 Chevrolet Spark LS,7617 ,3.1,525 ,15988,Good Deal | $377 under,2020,Good
6487,Toyota,2020 Toyota Tacoma Base,22810 ,4.9,1804 ,39975,Good Deal | $1022 under,2020,Good
6488,Volkswagen,2022 Volkswagen Taos 1.5T SE,32721 ,4.1,1433 ,25200,CPO Warrantied,2022,Unknown
6489,Rolls-Royce,2019 Rolls-Royce Cullinan ,23295 ,4.6,2697 ,349905,CPO Warrantied,2019,Unknown
6490,RAM,2020 RAM 1500 Big Horn,10998 ,4.6,2742 ,36991,Great Deal | $4205 under,2020,Great
6491,Ford,2020 Ford Edge SEL,26410 ,4.9,480 ,32000,Good Deal | $1093 under,2020,Good
6492,Kia,2020 Kia Telluride SX,46318 ,4.7,115 ,43981,Great Deal | $5011 under,2020,Great
6493,Kia,2021 Kia K5 LXS,38202 ,3.8,81 ,24489,Great Deal | $1703 under,2021,Great
6494,Buick,2021 Buick Envision Essence,6211 ,5.0,3385 ,36719,Great Deal | $3552 under,2021,Great
6495,GMC,2019 GMC Yukon Denali,42987 ,4.7,4171 ,59995,Great Deal | $3656 under,2019,Great
6496,RAM,2020 RAM 1500 Big Horn,52008 ,4.5,541 ,36990,Great Deal | $3762 under,2020,Great
6497,Jeep,2021 Jeep Wrangler Unlimited Sport S,27963 ,Nan,2 ,40999,CPO Warrantied,2021,Unknown
6498,Nissan,2019 Nissan Titan S,37284 ,4.6,1143 ,34954,Good Deal | $933 under,2019,Good
6499,Honda,2022 Honda Passport TrailSport,2815 ,3.2,589 ,39977,Great Deal | $2263 under,2022,Great
6500,Ford,2020 Ford F-150 XLT,42667 ,4.4,136 ,37995,Good Deal | $605 under,2020,Good
6501,Mercedes-Benz,2018 Mercedes-Benz AMG E 43 Base 4MATIC,36352 ,4.9,734 ,51810,Great Deal | $7123 under,2018,Great
6502,Toyota,2021 Toyota Highlander XLE,33689 ,4.9,1380 ,40994,CPO Warrantied,2021,Unknown
6503,INFINITI,2019 INFINITI Q70 3.7 LUXE,35908 ,4.5,533 ,30839,CPO Warrantied,2019,Unknown
6504,Ford,2020 Ford Mustang EcoBoost,44194 ,4.4,3682 ,26701,Good Deal | $1159 under,2020,Good
6505,Toyota,2021 Toyota RAV4 LE,20139 ,4.3,19 ,29791,Great Deal | $2717 under,2021,Great
6506,GMC,2020 GMC Acadia SLT,35746 ,3.8,22 ,38185,Good Deal | $1203 under,2020,Good
6507,Honda,2021 Honda Pilot Special Edition,37611 ,4.8,1361 ,38275,Good Deal | $1807 under,2021,Good
