,Title,Mileage,Price,deal_status,Features,Rating,Rating-Count
56,2018 Lincoln Navigator Black Label," 38,606 mi.","$64,995",Good Deal | $366 under,"headlight control - auto highbeam, keyless entry, LED Headlights, Apple CarPlay/Android Auto, USB Port, parking assistance, Automatic Emergency Braking, collision warning system, Rear Cross Traffic Alert, parking distance sensors",4.8,(102 reviews)
57,2020 RAM ProMaster 2500 Window Van High Roof," 10,338 mi.","$63,993",Fair Deal,"keyless entry, LED Headlights, Heated Seats, Heated Steering Wheel, parking distance sensors, parking assistance, Rear Cross Traffic Alert, Blind Spot Monitor",4.7,(63 reviews)
58,2012 Cadillac CTS-V Base," 96,871 mi.","$33,544","Great Deal | $3,481 under","keyless entry, Keyless Start, LED Headlights, USB Port, Automatic Emergency Braking, collision warning system",4.3,(63 reviews)
59,2005 Porsche Boxster S," 44,000 mi.","$31,480",Fair Deal,"headlight control - auto highbeam, keyless entry, LED Headlights, Automatic Emergency Braking, Blind Spot Monitor, collision warning system, Rear Cross Traffic Alert",4.7,(20 reviews)
60,2015 Lexus RC F Base," 80,278 mi.","$37,950","Great Deal | $8,835 under",Nan,3.2,(150 reviews)
61,2019 Lexus LX 570 570," 49,643 mi.","$67,886","Great Deal | $9,277 under",Nan,4.8,(0 reviews)
62,2015 Land Rover Range Rover Evoque Pure Plus," 58,088 mi.","$23,995","Great Deal | $4,363 under","headlight control - auto highbeam, keyless entry, Keyless Start, LED Headlights, USB Port, Heated Seats, Cooled Seats, parking distance sensors, parking assistance, traffic sign recognition, driver monitor, Automatic Emergency Braking, collision warning system, Blind Spot Monitor, Rear Cross Traffic Alert, Lane Departure Warning",2.3,(48 reviews)
63,2021 Nissan Rogue SV," 39,210 mi.","$27,051","Great Deal | $2,549 under",Nan,5.0,"(3,972 reviews)"
64,2020 Chrysler 300 Touring," 26,146 mi.","$26,750",Good Deal,keyless entry,4.8,(126 reviews)
65,2022 BMW X4 M40i, 636 mi.,"$72,915",Good Deal,"keyless entry, LED Headlights, Premium Sound System, Heated Seats, Memory Seat",4.3,(456 reviews)
