,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2132,49361,4.1,73,2017,26994.0,Chevrolet,Great,17 Chevrolet Traverse Premier
2133,8354,4.3,258,2022,30750.0,Kia,Fair, Kia Seltos EX
2134,48047,4.8,3153,2020,40486.0,Chevrolet,Great, Chevrolet Camaro 2SS
2135,35686,5.0,71,2019,41998.0,Cadillac,Great,19 Cadillac CT6 Luxury
2136,71088,4.7,391,2017,31999.0,Honda,Good,17 Honda Pilot Elite
2137,13204,4.6,970,2021,24809.0,Honda,Good,1 Honda Civic LX
2138,22946,4.8,1719,2020,29997.0,Kia,Great, Kia Stinger GT-Line
2139,2667,3.5,1253,2021,97995.0,Ford,Good,1 Ford Shelby GT500 Base
2140,39729,2.7,413,2020,39785.0,Toyota,Good, Toyota RAV4 Hybrid XSE
2142,36145,4.8,546,2020,36995.0,BMW,Good, BMW 330 i
2143,19964,4.0,631,2021,49900.0,BMW,Great,1 BMW M340 i
2144,27375,4.0,324,2019,61999.0,BMW,Great,19 BMW X5 xDrive50i
2146,4465,4.8,789,2021,52995.0,Ford,Good,1 Ford Mustang Mach-E Select
2147,40886,4.8,816,2021,36401.0,BMW,Good,1 BMW X1 sDrive28i
2148,7038,5.0,1266,2022,73750.0,Ford,Good, Ford Bronco Badlands
2149,15141,4.0,2231,2019,55094.0,Toyota,Good,19 Toyota 4Runner TRD Pro
2150,41416,4.5,203,2020,43999.0,Chevrolet,Great, Chevrolet Tahoe LT
2151,45994,4.8,8,2020,57786.0,Ford,Good, Ford Expedition Max Limited
2152,4228,4.4,1499,2022,58988.0,GMC,Great, GMC Sierra 3500 Pro
2154,18684,4.4,4380,2021,30500.0,Ford,Great,1 Ford Bronco Sport Big Bend
2155,66389,4.5,53,2019,22993.0,Ford,Good,19 Ford Fusion Energi Titanium
2156,14064,4.9,1804,2022,28975.0,Toyota,Great, Toyota Camry LE
2157,27168,4.3,443,2019,32495.0,Subaru,Great,19 Subaru Ascent Limited 7-Passenger
2158,12981,4.8,4332,2021,34970.0,Toyota,Fair,1 Toyota Camry Hybrid LE
2159,24352,4.6,1228,2018,34828.0,Toyota,Good,18 Toyota Avalon Hybrid Limited
2160,55201,4.9,350,2019,48579.0,GMC,Great,19 GMC Sierra 1500 AT4
2161,3721,4.3,86,2020,173999.0,Porsche,Good, Porsche Taycan Turbo S
2162,24597,4.9,2203,2019,46000.0,Volvo,Great,19 Volvo XC90 T6 Momentum
2163,7673,4.3,534,2022,26998.0,Nissan,Good, Nissan Rogue Sport S
2164,47208,4.9,2020,2019,28377.0,Kia,Good,19 Kia Sedona EX
2165,6380,2.9,2136,2022,42459.0,Honda,Good, Honda Passport TrailSport
2167,20878,4.8,1390,2021,47343.0,Nissan,Good,1 Nissan Titan PRO-4X
2169,29014,1.8,198,2019,53496.0,BMW,Great,19 BMW M550 i xDrive
2170,15696,4.5,469,2018,49999.0,Porsche,Great,18 Porsche Macan Sport Edition
2171,13566,3.7,1682,2019,43968.0,Volvo,Fair,19 Volvo S90 T5 Momentum
2172,47588,4.8,786,2019,32817.0,Honda,Good,19 Honda Passport EX-L
2173,8666,4.7,617,2019,82388.0,BMW,Great,19 BMW M5 
2174,58785,4.3,255,2020,53900.0,BMW,Unknown, BMW M550 i xDrive
2175,72775,4.2,197,2021,34595.0,Toyota,Unknown,1 Toyota Sienna XLE 8 Passenger
2176,12524,4.8,2005,2019,89995.0,BMW,Good,19 BMW M850 i xDrive
