,Price,Year,Rating,Mileage,Rating-Count,Name,Status,model_details
1712,44988.0,2022,4.7,7360,1101,Nissan,Unknown,Nissan Murano Platinum
1713,43630.0,2021,4.9,15967,104,Acura,Unknown,Acura RDX
1714,28995.0,2022,4.7,34756,882,Honda,Unknown,Honda HR-V
1717,50995.0,2019,4.6,43521,6066,Ford,Unknown,9 Ford Expedition PLATINUM
1719,20400.0,2020,4.6,41416,483,Kia,Unknown,Kia Forte GT-Line
1721,30990.0,2019,4.8,40800,2348,Honda,Good,9 Honda CR-V EX-L
1723,41900.0,2020,3.6,48981,257,Toyota,Unknown,Toyota Highlander Hybrid XLE
1724,69990.0,2022,5.0,20291,62,Jeep,Unknown,Jeep Wagoneer Series III
1725,37991.0,2022,4.6,16658,556,Kia,Unknown,Kia K5 GT-Line
1727,31449.0,2020,4.3,22418,452,Honda,Unknown,Honda Accord Hybrid
1729,54800.0,2022,4.1,1164,1135,Chrysler,Unknown,Chrysler Pacifica Pinnacle
1731,39791.0,2021,4.9,38874,192,Toyota,Unknown,Toyota Sienna LE
1734,39697.0,2022,4.8,10208,266,Kia,Unknown,Kia Carnival LXS
1735,48991.0,2022,4.9,12666,147,Volvo,Unknown,Volvo XC60 B5 R-Design
1736,36518.0,2021,4.9,25456,206,INFINITI,Unknown,INFINITI QX50 LUXE
1739,39988.0,2021,4.9,20531,541,Honda,Unknown,Honda Accord Hybrid
1741,32999.0,2022,4.1,867,1114,Toyota,Unknown,Toyota Tacoma SR
1742,68980.0,2020,4.8,43728,1616,BMW,Fair,BMW 750 i xDrive
1744,40975.0,2021,1.6,24651,11,Toyota,Unknown,Toyota Venza LE
1746,30985.0,2019,4.5,26676,81,Honda,Unknown,9 Honda Odyssey
1748,32998.0,2020,5.0,13142,67,Volvo,Unknown,Volvo S60 T5 Momentum
1749,52398.0,2021,4.8,18932,1978,Ford,Unknown,Ford Explorer ST
1751,26764.0,2019,4.1,24820,376,Volkswagen,Unknown,9 Volkswagen Jetta GLI 2.0T S
1752,56559.0,2019,4.7,84086,1850,Ford,Unknown,9 Ford F-250 SUPER DUTY
1754,43995.0,2021,3.3,12447,1460,Ford,Unknown,Ford Explorer LIMITED
1755,35950.0,2020,2.4,63520,92,Dodge,Unknown,Dodge Durango GT Plus
1756,33741.0,2019,4.5,41706,72,Volvo,Unknown,9 Volvo S60 T6 Inscription
1757,75991.0,2021,4.7,5667,811,Ford,Unknown,Ford F-350 XLT
1759,39993.0,2020,4.9,17285,694,Volvo,Unknown,Volvo XC40 R-Design
1760,64414.0,2022,4.2,15465,450,Toyota,Unknown,Toyota Tundra Limited
1762,24998.0,2023,3.4,575,59,Nissan,Unknown,3 Nissan Altima 2.5 S
1763,18298.0,2017,4.3,55683,534,Nissan,Great,7 Nissan Rogue S
1765,28850.0,2019,4.5,6733,740,INFINITI,Unknown,9 INFINITI QX30 LUXE
1767,59280.0,2022,3.9,1725,798,Ford,Unknown,Ford F-150 XLT
1768,28500.0,2020,4.2,20010,2419,Volkswagen,Unknown,Volkswagen Jetta GLI 2.0T Autobahn
1770,29000.0,2021,4.9,14128,1053,Kia,Unknown,Kia K5 GT-Line
1772,38970.0,2017,4.5,35058,426,Ford,Unknown,7 Ford Expedition PLATINUM
1773,36990.0,2020,4.6,26598,558,Acura,Unknown,Acura MDX
1775,37430.0,2021,4.4,27797,1210,Toyota,Unknown,Toyota RAV4 Hybrid Limited
1776,34997.0,2022,4.6,11015,284,Nissan,Unknown,Nissan Murano SV
1777,43788.0,2022,4.1,1705,1708,Toyota,Unknown,Toyota Highlander XLE
1779,35654.0,2020,4.9,32961,441,Volkswagen,Unknown,Volkswagen Atlas Cross Sport 3.6 V6 SE w/ Technology R-Line
1781,61550.0,2022,4.9,11735,249,Volvo,Unknown,Volvo XC90 T6 AWD Momentum 7 Seater
1782,37994.0,2021,4.9,17671,166,Honda,Unknown,Honda Pilot
1784,32490.0,2019,4.8,29024,2348,Honda,Good,9 Honda CR-V EX-L
