,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
2350,Cadillac,2020 Cadillac XT5 Premium Luxury,48503 ,4.9,725 ,33410,Great Deal | $4905 under,2020,Great
2351,Jeep,2019 Jeep Cherokee Limited,25273 ,2.3,135 ,26997,Great Deal | $3951 under,2019,Great
2352,Toyota,2022 Toyota Tundra Hybrid TRD Pro,2102 ,4.7,1051 ,88793,Good Deal | $3332 under,2022,Good
2353,Chevrolet,2021 Chevrolet Silverado 1500 ,13538 ,4.8,754 ,30950,CPO Warrantied,2021,Unknown
2354,Volkswagen,2021 Volkswagen Tiguan 2.0T SEL Premium R-Line,34576 ,Nan,27 ,35490,Good Deal,2021,Good
2355,INFINITI,2021 INFINITI QX80 PREMIUM SELECT,8400 ,4.8,77 ,62997,Great Deal,2021,Great
2356,BMW,2020 BMW X6 M50i,44027 ,4.3,1210 ,73989,Great Deal | $8024 under,2020,Great
2357,Acura,2020 Acura MDX 3.5L Technology & A-Spec Pkgs,24621 ,3.9,55 ,45710,Good Deal,2020,Good
2358,BMW,2022 BMW 750 i xDrive,12720 ,4.9,2739 ,90909,Great Deal,2022,Great
2359,RAM,2021 RAM 1500 Laramie,14290 ,4.7,3202 ,51834,Great Deal | $6237 under,2021,Great
2360,Toyota,2023 Toyota Camry TRD,195 ,4.4,1679 ,47898,CPO Warrantied,2023,Unknown
2361,Ford,2021 Ford Bronco Sport Big Bend,7895 ,4.3,510 ,34550,Good Deal | $1129 under,2021,Good
2362,Porsche,2018 Porsche Panamera Sport Turismo 4S,17939 ,4.1,254 ,91988,Good Deal | $2912 under,2018,Good
2363,Volkswagen,2019 Volkswagen Beetle 2.0T S,10683 ,4.6,44 ,25500,Great Deal | $1946 under,2019,Great
2364,Toyota,2020 Toyota Tacoma TRD Off Road,67182 ,4.6,946 ,33000,Great Deal | $3717 under,2020,Great
2365,Kia,2022 Kia Stinger GT2,17012 ,Nan,7 ,53825,CPO Warrantied,2022,Unknown
2366,Dodge,2021 Dodge Durango Citadel,28603 ,4.4,3777 ,39999,Great Deal | $3775 under,2021,Great
2367,Toyota,2021 Toyota Tundra Limited,35025 ,3.7,618 ,55489,Good Deal,2021,Good
2368,Ford,2021 Ford F-150 XLT,6702 ,4.6,524 ,48451,Good Deal | $2264 under,2021,Good
2369,Chevrolet,2022 Chevrolet Silverado 1500 Custom,5840 ,4.5,508 ,42066,Fair Deal,2022,Fair
2370,RAM,2019 RAM 1500 Big Horn,37789 ,2.3,487 ,38000,Great Deal | $2149 under,2019,Great
2371,Cadillac,2020 Cadillac CT5 Sport RWD,6845 ,4.9,2846 ,39999,Good Deal | $8193 under,2020,Good
2372,Nissan,2021 Nissan Altima 2.5 S,36453 ,4.0,452 ,22298,Great Deal | $2214 under,2021,Great
2373,Kia,2022 Kia Stinger GT1,22177 ,4.2,2860 ,39556,Great Deal | $5367 under,2022,Great
2374,Buick,2020 Buick Envision Essence,30301 ,Nan,154 ,32950,Good Deal,2020,Good
2375,Nissan,2022 Nissan Pathfinder Platinum,1901 ,3.8,673 ,45409,Great Deal,2022,Great
2376,RAM,2022 RAM 2500 Limited,27858 ,4.6,503 ,78222,CPO Warrantied,2022,Unknown
2377,Ford,2019 Ford Expedition Max Platinum,86471 ,3.3,1901 ,45695,Great Deal | $2870 under,2019,Great
2378,Ford,2018 Ford Expedition Max Limited,67432 ,4.4,534 ,37559,Great Deal | $7990 under,2018,Great
2379,Ford,2020 Ford Expedition Max XLT,58946 ,4.3,433 ,45607,Great Deal | $3110 under,2020,Great
2380,Jeep,2022 Jeep Grand Cherokee Laredo,3513 ,4.6,1385 ,39323,CPO Warrantied,2022,Unknown
2381,Ford,2020 Ford Transit-150 LIMITED SE,13170 ,4.3,162 ,79936,Fair Deal,2020,Fair
2382,Bentley,2020 Bentley Continental GT V8,11401 ,Nan,Nan,219888,CPO Warrantied,2020,Unknown
2383,Jeep,2018 Jeep Grand Cherokee Limited,21427 ,4.4,301 ,31000,Great Deal | $3050 under,2018,Great
2384,Volkswagen,2021 Volkswagen Atlas 2.0T SE,51836 ,4.5,1289 ,32660,Great Deal | $3199 under,2021,Great
2385,Volvo,2021 Volvo XC40 T5 R-Design,4685 ,4.6,587 ,42595,Great Deal | $7256 under,2021,Great
2386,Jeep,2021 Jeep Wrangler Unlimited Rubicon 392,8228 ,4.4,2213 ,97990,Fair Deal,2021,Fair
2387,BMW,2021 BMW X5 M Base,25239 ,4.7,1386 ,92985,CPO Warrantied,2021,Unknown
2388,Chrysler,2018 Chrysler Pacifica Touring-L,45665 ,4.5,541 ,23689,Great Deal | $4787 under,2018,Great
2389,Volvo,2018 Volvo V90 Cross Country T5,24961 ,Nan,24 ,42995,Great Deal,2018,Great
2390,Nissan,2020 Nissan Sentra SR,30309 ,Nan,79 ,21756,Fair Deal,2020,Fair
2391,Volvo,2019 Volvo S90 T6 Inscription,14872 ,4.6,425 ,42465,Good Deal,2019,Good
2392,Toyota,2022 Toyota Tundra SR,990 ,4.8,2158 ,40698,CPO Warrantied,2022,Unknown
2393,BMW,2019 BMW X1 sDrive28i,36107 ,4.3,458 ,28885,Great Deal | $5382 under,2019,Great
2394,Chevrolet,2021 Chevrolet Colorado LT,15514 ,3.1,159 ,31890,Great Deal | $2559 under,2021,Great
2395,Toyota,2022 Toyota Sienna LE,10530 ,4.2,600 ,49995,Good Deal,2022,Good
2396,Kia,2022 Kia Carnival LXS,17387 ,4.8,1476 ,41995,Good Deal,2022,Good
2397,GMC,2020 GMC Acadia SLE,35629 ,4.3,710 ,34876,Good Deal | $1541 under,2020,Good
2398,RAM,2019 RAM 1500 Big Horn/Lone Star,66375 ,4.5,1653 ,34998,Good Deal | $758 under,2019,Good
2399,BMW,2019 BMW 530e iPerformance,39852 ,Nan,24 ,38990,Good Deal | $555 under,2019,Good
2400,Acura,2020 Acura MDX 3.5L Technology & A-Spec Pkgs,28214 ,4.8,1654 ,44650,Good Deal | $603 under,2020,Good
